ID,weight_BEFORE_bronze,weight_AFTER_gold,freight_BEFORE_bronze,freight_AFTER_gold,vendor_BEFORE_bronze,vendor_AFTER_gold,delay_days,is_delayed,delay_probability,risk_category
1,13,13.0,780.34,780.34,RANBAXY Fine Chemicals LTD.,RANBAXY Fine Chemicals LTD.,0,0,0.004,LOW
3,358,358.0,4521.5,4521.5,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.012,LOW
4,171,171.0,1653.78,1653.78,Abbott GmbH & Co. KG,Abbott GmbH & Co. KG,0,0,0.012,LOW
15,1855,1855.0,16007.06,16007.06,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),0,0,0.071,LOW
16,7590,7590.0,45450.08,45450.08,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.163,LOW
23,504,504.0,5920.42,5920.42,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.006,LOW
44,328,328.0,Freight Included in Commodity Cost,,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0,0,0.001,LOW
45,1478,1478.0,6212.41,6212.41,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.022,LOW
46,"See ASN-93 (ID#:1281)",1047.0,"See ASN-93 (ID#:1281)",,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.007,LOW
47,643,643.0,Freight Included in Commodity Cost,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.012,LOW
60,643,643.0,Freight Included in Commodity Cost,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.012,LOW
61,853,853.0,13569.49,13569.49,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.006,LOW
62,Weight Captured Separately,1047.0,Invoiced Separately,,EY Laboratories,EY Laboratories,0,0,0.032,LOW
64,7416,7416.0,64179.42,64179.42,CIPLA LIMITED,CIPLA LIMITED,0,0,0.048,LOW
65,256,256.0,1760.32,1760.32,Abbott GmbH & Co. KG,Abbott GmbH & Co. KG,0,0,0.02,LOW
68,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.006,LOW
69,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,ACCOUN NIGERIA LIMITED,ACCOUN NIGERIA LIMITED,0,0,0.025,LOW
80,710,710.0,3120.7,3120.7,Premier Medical Corporation Ltd.,Premier Medical Corporation Ltd.,0,0,0.052,LOW
87,162,162.0,912.96,912.96,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.002,LOW
92,341,341.0,2682.47,2682.47,Abbott GmbH & Co. KG,Abbott GmbH & Co. KG,0,0,0.006,LOW
96,2278,2278.0,15893.71,15893.71,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","CHEMBIO DIAGNOSTIC SYSTEMS, INC.",0,0,0.007,LOW
108,2126,2126.0,Freight Included in Commodity Cost,,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.01,LOW
115,941,941.0,4193.49,4193.49,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.019,LOW
116,117,117.0,1767.38,1767.38,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0,0,0.006,LOW
130,171,171.0,3518.38,3518.38,"Orgenics, Ltd","Orgenics, Ltd",8,1,0.312,MEDIUM
134,60,60.0,3097.85,3097.85,Orasure Technologies Inc.,Orasure Technologies Inc.,0,0,0.003,LOW
138,3335,3335.0,27869.74,27869.74,"Standard Diagnostics, Inc.","Standard Diagnostics, Inc.",0,0,0.069,LOW
139,3335,3335.0,28461.1,28461.1,"Standard Diagnostics, Inc.","Standard Diagnostics, Inc.",0,0,0.069,LOW
140,3335,3335.0,28359.8,28359.8,"Standard Diagnostics, Inc.","Standard Diagnostics, Inc.",0,0,0.069,LOW
161,4228,4228.0,12237.61,12237.61,Aurobindo Pharma Limited,Aurobindo Pharma Limited,0,0,0.226,LOW
176,3263,3263.0,20885.78,20885.78,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","CHEMBIO DIAGNOSTIC SYSTEMS, INC.",0,0,0.029,LOW
262,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,"JSI R&T INSTITUTE, INC.","JSI R&T INSTITUTE, INC.",0,0,0.002,LOW
269,76,76.0,2282.57,2282.57,"GILEAD SCIENCES IRELAND, INC.","GILEAD SCIENCES IRELAND, INC.",0,0,0.006,LOW
270,23,23.0,2149.05,2149.05,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),0,0,0.051,LOW
284,99,99.0,0.75,0.75,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.025,LOW
305,Weight Captured Separately,1047.0,Invoiced Separately,,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.013,LOW
343,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,"JSI R&T INSTITUTE, INC.","JSI R&T INSTITUTE, INC.",-17,0,0.002,LOW
361,Weight Captured Separately,1047.0,Invoiced Separately,,"Trinity Biotech, Plc","Trinity Biotech, Plc",0,0,0.001,LOW
391,509,509.0,5446.51,5446.51,BIO-RAD LABORATORIES (FRANCE),BIO-RAD LABORATORIES (FRANCE),0,0,0.257,LOW
392,206,206.0,2656.12,2656.12,"Standard Diagnostics, Inc.","Standard Diagnostics, Inc.",0,0,0.003,LOW
398,Weight Captured Separately,1047.0,Invoiced Separately,,"Orgenics, Ltd","Orgenics, Ltd",-8,0,0.006,LOW
399,14,14.0,360,360.0,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.004,LOW
400,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,0,0,0.007,LOW
410,373,373.0,4112.46,4112.46,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.059,LOW
411,483,483.0,5468.88,5468.88,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","CHEMBIO DIAGNOSTIC SYSTEMS, INC.",0,0,0.005,LOW
414,33,33.0,1715.17,1715.17,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.007,LOW
420,654,654.0,4051.34,4051.34,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0.011,LOW
422,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.001,LOW
423,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,0,0,0.006,LOW
438,81,81.0,2211.05,2211.05,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,0,0,0.001,LOW
459,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,S. BUYS WHOLESALER,S. BUYS WHOLESALER,-18,0,0.003,LOW
464,1251,1251.0,16090.22,16090.22,"Orgenics, Ltd","Orgenics, Ltd",0,0,0.081,LOW
465,Weight Captured Separately,1047.0,Invoiced Separately,,"Orgenics, Ltd","Orgenics, Ltd",-5,0,0.057,LOW
466,Weight Captured Separately,1047.0,Freight Included in Commodity Cost,,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,0,0,0.021,LOW
530,1537,1537.0,13507.92,13507.92,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0.08,LOW
