ID,Vendor,Country,Shipment Mode,Weight (Kilograms),Freight Cost (USD),Line Item Value,Line Item Quantity,Unit Price,Scheduled Delivery Date,Delivered to Client Date,delay_days,is_delayed,delay_probability,risk_category
1,RANBAXY Fine Chemicals LTD.,Côte d'Ivoire,Air,13.0,780.34,551.0,19,0.97,2006-06-02 00:00:00,2006-06-02 00:00:00,0,0,0.004,LOW
3,Aurobindo Pharma Limited,Vietnam,Air,358.0,4521.5,6200.0,1000,0.03,2006-11-14 00:00:00,2006-11-14 00:00:00,0,0,0.012,LOW
4,Abbott GmbH & Co. KG,Côte d'Ivoire,Air,171.0,1653.78,40000.0,500,0.8,2006-08-27 00:00:00,2006-08-27 00:00:00,0,0,0.012,LOW
15,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,Air,1855.0,16007.06,127360.8,31920,0.07,2006-09-01 00:00:00,2006-09-01 00:00:00,0,0,0.071,LOW
16,Aurobindo Pharma Limited,Vietnam,Air,7590.0,45450.08,121600.0,38000,0.05,2006-08-11 00:00:00,2006-08-11 00:00:00,0,0,0.163,LOW
23,Aurobindo Pharma Limited,Nigeria,Air,504.0,5920.42,2225.6,416,0.02,2006-09-28 00:00:00,2006-09-28 00:00:00,0,0,0.006,LOW
44,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Zambia,Air,328.0,,4374.0,135,0.36,2007-01-08 00:00:00,2007-01-08 00:00:00,0,0,0.001,LOW
45,Aurobindo Pharma Limited,Tanzania,Air,1478.0,6212.41,60834.55,16667,0.06,2006-11-24 00:00:00,2006-11-24 00:00:00,0,0,0.022,LOW
46,Aurobindo Pharma Limited,Nigeria,Air,1047.0,,532.35,273,0.03,2006-12-07 00:00:00,2006-12-07 00:00:00,0,0,0.007,LOW
47,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Air,643.0,,115080.0,2800,0.34,2007-01-30 00:00:00,2007-01-30 00:00:00,0,0,0.012,LOW
60,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Air,643.0,,115080.0,2800,0.34,2007-02-16 00:00:00,2007-02-16 00:00:00,0,0,0.012,LOW
61,"Trinity Biotech, Plc",Zambia,Air,853.0,13569.49,100000.0,2500,2.0,2007-01-08 00:00:00,2007-01-08 00:00:00,0,0,0.006,LOW
62,EY Laboratories,Nigeria,Air,1047.0,,850.0,10,0.85,2007-01-10 00:00:00,2007-01-10 00:00:00,0,0,0.032,LOW
64,CIPLA LIMITED,Rwanda,Air,7416.0,64179.42,99800.0,10000,0.17,2007-02-27 00:00:00,2007-02-27 00:00:00,0,0,0.048,LOW
65,Abbott GmbH & Co. KG,Haiti,Air,256.0,1760.32,60000.0,750,0.8,2007-01-18 00:00:00,2007-01-18 00:00:00,0,0,0.02,LOW
68,BRISTOL-MYERS SQUIBB,Zimbabwe,Air,1047.0,,14764.5,579,0.42,2007-03-19 00:00:00,2007-03-19 00:00:00,0,0,0.006,LOW
69,ACCOUN NIGERIA LIMITED,Nigeria,UNKNOWN_MODE,1047.0,,120000.0,1500,0.8,2007-05-07 00:00:00,2007-05-07 00:00:00,0,0,0.025,LOW
80,Premier Medical Corporation Ltd.,Rwanda,Air,710.0,3120.7,33000.0,2000,0.55,2007-03-29 00:00:00,2007-03-29 00:00:00,0,0,0.052,LOW
87,BRISTOL-MYERS SQUIBB,Tanzania,Air,162.0,912.96,8964.08,712,0.06,2007-06-06 00:00:00,2007-06-06 00:00:00,0,0,0.002,LOW
92,Abbott GmbH & Co. KG,Nigeria,Air,341.0,2682.47,80000.0,1000,0.8,2007-06-19 00:00:00,2007-06-19 00:00:00,0,0,0.006,LOW
96,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,Air,2278.0,15893.71,202500.0,7500,1.35,2007-06-19 00:00:00,2007-06-19 00:00:00,0,0,0.007,LOW
